model,resolution,mean_state_ensemble_mean,mean_state_ensemble_member_01,mean_state_ensemble_member_02,mean_state_ensemble_member_03,mean_state_ensemble_member_04,mean_state_ensemble_member_05,mean_state_ensemble_member_06,mean_state_ensemble_member_07,mean_state_ensemble_member_08,mean_state_ensemble_member_09,mean_state_ensemble_member_10,linear_trend_ensemble_mean,linear_trend_ensemble_member_01,linear_trend_ensemble_member_02,linear_trend_ensemble_member_03,linear_trend_ensemble_member_04,linear_trend_ensemble_member_05,linear_trend_ensemble_member_06,linear_trend_ensemble_member_07,linear_trend_ensemble_member_08,linear_trend_ensemble_member_09,linear_trend_ensemble_member_10
ACCESS1-0,74.1082298391264,19.7473868426772,19.7473868426772,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.334255032814747,-0.334255032814747,NA,NA,NA,NA,NA,NA,NA,NA,NA
CanESM2,237.026140692107,22.0417062286131,22.0961447713178,21.9236473755402,22.2516314793574,22.2609357878067,21.6761717290435,NA,NA,NA,NA,NA,-0.744718153012672,-0.792023607497501,-0.727693338795989,-0.888274561161569,-0.56703236642205,-0.748566891186256,NA,NA,NA,NA,NA
CCSM4,65.1862903093934,23.1167730444315,23.1116277463122,22.9185886628086,23.2133866280714,23.3421243804549,22.9521207475569,23.1627901013852,NA,NA,NA,NA,-0.542917533753592,-0.549793018387489,-0.477131112452921,-0.662101972409349,-0.420659371047734,-0.645886043364322,-0.501933684859725,NA,NA,NA,NA
CMCC-CESM,124.510649257373,20.6846528596214,20.6846528596214,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.52072803340864,-0.52072803340864,NA,NA,NA,NA,NA,NA,NA,NA,NA
CMCC-CM,124.510649257373,19.4627677821338,19.4627677821338,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.137807060070441,-0.137807060070441,NA,NA,NA,NA,NA,NA,NA,NA,NA
CMCC-CMS,124.510649257373,21.0432787700777,21.0432787700777,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.210223809644433,-0.210223809644433,NA,NA,NA,NA,NA,NA,NA,NA,NA
CNRM-CM5,62.6984658445876,16.3475211784552,15.8217948878602,16.4322979138765,17.2175072910377,15.9754647240704,16.2905410754314,NA,NA,NA,NA,NA,-0.574019361855592,-0.629406596822459,-0.555868804377495,-0.631151018086071,-0.0199396525962386,-1.03373073739569,NA,NA,NA,NA,NA
CSIRO-Mk3-6-0,157.011148275695,18.9113335252255,19.0445195383276,19.4094157654917,18.7928303275868,18.6254995761398,18.8358711008297,18.7963632066232,19.0630754412134,18.7532081805394,18.8609703528366,18.9315817626665,-0.346589125418197,-0.251836705510509,-0.281333059468114,-0.508498656695958,-0.223638356595078,-0.495880673074825,-0.268103187801278,-0.196423376653162,-0.4561480769244,-0.452338641629905,-0.331690519828731
GISS-E2-H-CC,187.714243245282,18.0684854352937,18.0684854352937,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.85164145777382,-0.85164145777382,NA,NA,NA,NA,NA,NA,NA,NA,NA
GISS-E2-H,187.714243245282,8.59480319915459,9.69422178720154,8.26974169307546,8.50562592748339,8.48838445236224,8.0160421356503,NA,NA,NA,NA,NA,-0.357789786829211,-0.209515199217264,0.0886070563791974,-0.251296719639229,-0.600225606680673,-0.816518464988085,NA,NA,NA,NA,NA
GISS-E2-R-CC,187.714243245282,13.6507292186051,13.6507292186051,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.140442357169502,-0.140442357169502,NA,NA,NA,NA,NA,NA,NA,NA,NA
GISS-E2-R,187.714243245282,13.3083508070416,13.8777667263529,13.1174541673103,13.1533875246531,13.3715056436183,13.0216399732736,NA,NA,NA,NA,NA,-0.165469368813607,-0.415407990381784,0.02901887501979,-0.312453357910429,-0.164788328671936,0.0362839578763185,NA,NA,NA,NA,NA
HadGEM2-CC,83.9766480735938,15.2907021497139,15.11096582144,15.4704384779878,NA,NA,NA,NA,NA,NA,NA,NA,-0.460244977381663,-0.439962334277395,-0.480527620485931,NA,NA,NA,NA,NA,NA,NA,NA
HadGEM2-ES,83.9766480735938,15.4680219297382,15.9337390496809,15.6390629876695,14.9134680921211,15.3858175894815,NA,NA,NA,NA,NA,NA,-0.492765838759977,-0.764795914643769,-0.427151599645362,-0.352401066928772,-0.426714773822002,NA,NA,NA,NA,NA,NA
IPSL-CM5A-LR,124.510650561978,19.6489131327488,19.5143399710392,19.7940382741299,19.5838869000684,19.7033873857577,NA,NA,NA,NA,NA,NA,-0.358401120943487,-0.336170128413428,-0.412185062636159,-0.0341495113527395,-0.651099781371612,NA,NA,NA,NA,NA,NA
IPSL-CM5A-MR,124.510650561978,16.5682402725724,16.5682402725724,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.739653862038754,-0.739653862038754,NA,NA,NA,NA,NA,NA,NA,NA,NA
IPSL-CM5B-LR,124.510650561978,7.85968527730278,7.85968527730278,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11272366602659,-0.11272366602659,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIROC5,81.4127344907232,6.59263451946462,5.97171797334426,7.01660916822835,6.78957641682125,NA,NA,NA,NA,NA,NA,NA,-0.209540531659272,-0.0697738404033677,-0.247378506919764,-0.311469247654687,NA,NA,NA,NA,NA,NA,NA
MIROC-ESM-CHEM,96.9957613179786,22.087172785963,22.087172785963,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.652268544562535,-0.652268544562535,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIROC-ESM,96.9957613179786,21.2832781535805,21.2832781535805,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.654912672835557,-0.654912672835557,NA,NA,NA,NA,NA,NA,NA,NA,NA
MPI-ESM-LR,87.8670818390163,15.9714011593223,15.8066735830794,15.8818583613276,16.2256715335598,NA,NA,NA,NA,NA,NA,NA,-0.209451223779029,-0.377344034100858,-0.158506972996654,-0.092502664239573,NA,NA,NA,NA,NA,NA,NA
MPI-ESM-MR,35.2510485315802,16.5510501357322,16.5510501357322,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.184952646132289,0.184952646132289,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRI-CGCM3,59.3882924485275,20.1376876671795,20.1376876671795,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.203726138052079,0.203726138052079,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRI-ESM1,59.3882924485275,19.8884297099182,19.8884297099182,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.179630117479717,-0.179630117479717,NA,NA,NA,NA,NA,NA,NA,NA,NA
NorESM1-ME,65.1860643824094,22.2136307831276,22.2136307831276,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.474005675126428,-0.474005675126428,NA,NA,NA,NA,NA,NA,NA,NA,NA
NorESM1-M,65.1860643824094,19.1509908716257,19.1509908716257,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0580161996584055,-0.0580161996584055,NA,NA,NA,NA,NA,NA,NA,NA,NA
LR-,63,21.3738,21.3738,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4575,-0.4575,NA,NA,NA,NA,NA,NA,NA,NA,NA
LR,63,20.8137,20.8137,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4853,-0.4853,NA,NA,NA,NA,NA,NA,NA,NA,NA
LR+,63,20.2085,20.2085,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5911,-0.5911,NA,NA,NA,NA,NA,NA,NA,NA,NA
LR*,63,18.141529483659,18.141529483659,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.538980236726561,-0.538980236726561,NA,NA,NA,NA,NA,NA,NA,NA,NA
HR-,14,17.4491,17.4491,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA
HR,14,17.7831,17.7831,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5302,-0.5302,NA,NA,NA,NA,NA,NA,NA,NA,NA
HR+,14,17.4647,17.4647,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2157,0.2157,NA,NA,NA,NA,NA,NA,NA,NA,NA
HR*,14,17.7820604618127,17.7820604618127,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.129157345202021,-0.129157345202021,NA,NA,NA,NA,NA,NA,NA,NA,NA
OBS,NA,18.552826,18.552826,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10924,0.10924,NA,NA,NA,NA,NA,NA,NA,NA,NA
